CID,SMILES,Activity_Binary
5035,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
154256,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,1
104741,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,1
91754,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,1
449459,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
457193,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,1
6758,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1
26041,[O-][n+]1ccccc1S,1
86354,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,1
5455,CN(C)C(=S)SSC(=S)N(C)C,1
235227,CC/N=c1\cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,1
9577124,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,1
3068143,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,1
16682746,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,1
11969781,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,1
2734227,CCCCCCCCCCCCn1cc[n+](C)c1,1
75444,CC/N=C1/C=CC(=C(c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)c2ccccc21,1
102724,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,1
60196435,COc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O,1
26710,CN(C)C(=S)S,1
16682834,CCCC[Sn](CCCC)(CCCC)OC(=O)c1ccccc1,1
5284613,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,1
387447,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1
11556711,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,1
16211385,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,1
177,CC=O,1
5709754,CCN1/C(=C/C=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,1
4477,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1
2724385,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1
15096,CCCC[Sn](Cl)(CCCC)CCCC,1
12040509,CCCCCCCCCCn1cc[n+](C)c1,1
135565635,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,1
183559,N#Cc1c(-c2ccc(Cl)cc2)[nH]c(C(F)(F)F)c1Br,1
8269,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,1
31315,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,1
6197,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,1
2724411,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,1
9910986,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,1
7347,CN(C)C(=S)SC(=S)N(C)C,1
9786,F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,1
19658,On1ccccc1=S,1
3015167,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1
70671,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1
2603,N#CC(C#N)=NNc1cccc(Cl)c1,1
16683072,C=CC(=O)O[Sn](CCCC)(CCCC)CCCC,1
108143,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,1
2734229,CCCCCCCCCCCCCCn1cc[n+](C)c1,1
2733525,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
71821,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,1
17701,CC[Sn](Br)(CC)CC,1
62379,CCCCCCCCCCCCCC[n+]1ccccc1,1
16211009,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,1
15625,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1
5289501,C/C(=C/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1
444795,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1
2391,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1
8400,O=C(c1ccccc1)C(O)c1ccccc1,1
2734117,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1
2800,CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1,1
11057,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,1
5364713,CCCCCCCC/C=C/CCCCCCCCOCCO,1
24773,CCCCCCCCCc1ccc(OCCOCCO)cc1,1
9935274,Cc1nccn1-c1ccc(Sc2cccc(C3(C(N)=O)CCOCC3)c2)cc1,1
9889168,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,1
3005572,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,1
60164,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,1
60699,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1
135430323,CC1=CC(=O)c2c(O)c3c4c5c(cc(O)c1c25)C(C)(C)C(O)=C4C(=O)C=C3O,1
6084,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1
16218822,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,1
53249535,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
18506491,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,1
5978,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,1
1674,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1
5311,O=C(CCCCCCC(=O)Nc1ccccc1)NO,1
67277,O=C(Nc1cccc([N+](=O)[O-])c1)c1cc2ccccc2cc1O,1
14385,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,1
20906,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O,1
656641,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
2775940,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,1
11289,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,1
1318,c1cnc2c(c1)ccc1cccnc12,1
5746,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,1
12184591,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,1
8540,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,1
5702159,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,1
15927,CC[n+]1ccccc1,1
213032,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,1
53316406,CCOP(=O)(O)OCC,1
2734223,CCCCCCCCn1cc[n+](C)c1,1
11219835,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,1
17201,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1
9158,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1
9164,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,1
65399,Cn1nc(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,1
71750,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,1
10455790,O=C(NC1N=C(c2ccccc2F)c2cccc3c2N(CC3)C1=O)c1cc2ccccc2[nH]1,1
39424,Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C,1
12456,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,1
14868,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,1
8816,CCCCCCCCCCCCCCCC[n+]1ccccc1,1
3598,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1
3034285,CO/C=C(\C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,1
3352,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,1
